"PKey","Name","ProjectId","ProjectMap","SetId","Pid","AddrSlct","Address","Alias","AliasType","P1","P2","P3","P4","P5","P6","P7","P8","Type","Format","IsScale","ScaleOffst","ScaleFact","IsDeadband","Deadband","IsModify","MsInput","MsOutput","MsAutoSubs","MsUnit"
"45","1185cb61-133a-44a8-a5f5-55fe9f876723","0","0","GREER_DATA","GRE07B,KVAR:A","0","24","","0","0","1","0","0","0","0","0","0","0","1","1","0","2","0","0","0","0","0","0","0"
"46","a77585eb-86f6-4f6c-b57d-b92dddcff2bd","0","0","RTAC_DESET","ROC06,PF:A","0","1714","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","14c2425a-05bb-4823-a593-97a37be7d484","0","0","RTAC_DESET","ROC06,PF_A:A","0","1726","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","8092def2-f3ca-4af1-a343-d1cbcac8cc34","0","0","RTAC_DESET","ROC06,PF_B:A","0","1727","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"49","35d44cfc-1539-4240-a89b-ca8d271ee67c","0","0","RTAC_DESET","ROC06,PF_C:A","0","1728","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","2ebcb902-a4ac-4e95-8a67-fdb48d550ebe","0","0","RTAC_DESET","ROC06,V_A:A","0","1719","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"51","574511bb-cf48-47ef-afbd-70353fee1fd4","0","0","GREER_DATA","GRE02A,KW:A","0","3","Greer_Del2A","0","0","1","0","0","0","0","0","0","0","1","1","0","2","0","0","0","0","0","0","4"
"52","5956eb65-b909-41a8-8533-55077bce458a","0","0","GREER_DATA","GRE02A,KVAR:A","0","4","Greer_Del2A","0","0","1","0","0","0","0","0","0","0","1","1","0","2","0","0","0","0","0","0","16"
"53","288dc71c-5231-4ac4-b6ae-3dbcdad2cd7f","0","0","GREER_DATA","GRE02B,KW:A","0","5","Greer_Del2B","0","0","1","0","0","0","0","0","0","0","1","1","0","2","0","0","0","0","0","0","4"
"54","94036b94-7587-4168-a324-c024cbff75f6","0","0","GREER_DATA","GRE02B,KVAR:A","0","6","Greer_Del2A","0","0","1","0","0","0","0","0","0","0","1","1","0","2","0","0","0","0","0","0","16"
"55","f424bfd7-4d63-4c9e-89a8-861fcc13b98d","0","0","","GRE02A,KW_COMP:A","0","0","Greer_2A_KW","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0"
"56","080a92df-c22c-4d44-acda-cd45e9b23c1e","0","0","RTAC_DESET","ROC06,V_B:A","0","1720","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"57","9ce455cd-8ce7-47e2-97b2-81b8e5c1de0b","0","0","RTAC_DESET","ROC06,V_C:A","0","1721","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58","252e8dd1-f3af-40a9-9a5b-acf955d1a863","0","0","RTAC_DESET","ROC07A,A_A:A","0","1752","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"59","5db7cf16-60ad-443d-a149-e84cacae49c6","0","0","RTAC_DESET","ROC07A,A_B:A","0","1753","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60","aab42992-78a0-4021-8b1c-21087a0c148f","0","0","RTAC_DESET","ROC07A,A_C:A","0","1754","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61","4ce1bc38-7954-4372-aa02-0dadb21cfb37","0","0","RTAC_DESET","ROC07A,A_N:A","0","1755","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"62","7e1ee605-82f8-4605-b014-3272b7b48354","0","0","RTAC_DESET","ROC07A,FREQUENCY:A","0","1745","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63","5acf9688-e475-4d0d-a19c-5067d8421e1a","0","0","RTAC_DESET","ROC07A,KVAR:A","0","1743","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"64","79b2df77-f046-4d0a-921e-cbbd27d684e9","0","0","RTAC_DESET","ROC07A,KVAR_COMP:A","0","1741","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65","046d1189-cf84-4111-ad1b-9877a5eabb1c","0","0","RTAC_DESET","ROC07A,KW:A","0","1742","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"66","352d04b4-e362-4b78-85f1-9b60c1ff7b60","0","0","RTAC_DESET","ROC10,KVAR:A","0","1863","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"67","d5be1713-3fc9-408b-9601-4115db0ce5cd","0","0","RTAC_DESET","ROC10,KW_COMP:A","0","1860","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"68","54a69824-19bf-472e-af2f-43319bd470d2","0","0","RTAC_DESET","ROC12,A_A:A","0","1932","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"69","955ef84d-c837-4b59-bacd-ad60450293ca","0","0","RTAC_DESET","ROC07A,KW_COMP:A","0","1740","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70","d0d7011e-3cb1-490c-b4d9-853e9d5af26f","0","0","RTAC_DESET","ROC07A,PF:A","0","1744","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"71","a017b9a8-140b-4a47-8749-006902b12d13","0","0","RTAC_DESET","ROC07A,PF_A:A","0","1756","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"72","0ca5737c-f090-4653-a580-d54d9a927dec","0","0","RTAC_DESET","ROC07A,PF_B:A","0","1757","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"73","55c20938-b620-4a25-b995-7226ee46fb88","0","0","RTAC_DESET","ROC07A,PF_C:A","0","1758","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
