"PKEY","NAME","DESC","PROJECTID","PROJECTMAP","ERROR","COLLECTING","ALLOCATED","LOADSURVEY","LEADSAMPNG","CALCINPRO","HASQULIFRS","TOTSAMPLES","SAMPLECNT","OLSTSAMPID","NWSTSAMPID","CURRSAMPID","OLSTSAMPTM","NWSTSAMPTM","SMPINTTYPE","SMPDURAT","SMPINTERV","SMPOBSERV","SMPSTART","LASTSTIME","CNDCOLLECT","CNDFUNCID","CNDOPTYPE1","CNDOPPID1","CNDOPCNST1","CNDOPTYPE2","CNDOPPID2","CNDOPCNST2","CNDWRKVAL","CNDWRKTIM","DERIVEDSET","DERIVEDID","TIMCHGPTS","TIMSETVAL","MAXPOINTS","POINTLIST","REPLICATE"
"31","PMPA_15SEC_WLOSS_LOAD","PMPA Load Samples - 15 Seconds","0","0","0","1","1","0","0","0","0","691200","691199","620881","620879","620880","#2024-02-01 12:15:30.000#","#2024-05-31 12:15:00.000#","0","10368000","15","15","#2014-01-13 05:00:00.000#","#2024-05-31 12:15:00.000#","0","0","2","","0","2","","0","0","","0","","#2015-01-08 05:25:05.106#","#2022-07-28 16:25:39.858#","1","SYS$,PMPA_MW_COMP_WLOSS:A#0","1"
"32","LOAD_FORECASTS","Created per suvalent support","0","0","0","0","1","0","0","0","0","744","744","218","217","732","#2020-10-09 09:00:00.000#","#2020-11-10 16:00:00.000#","0","2678400","3600","3600","#2020-09-30 04:00:00.000#","#2020-11-10 16:00:00.000#","0","0","1","","0","1","","0","0","","0","","#2020-09-30 16:40:51.456#","","1","ROC12,LOAD_FORECAST:A#0","0"
"33","LOAD_FORECASTS2","Created Per Survalent Support","0","0","0","1","1","0","1","0","1","2160","2159","933","931","932","#2024-03-02 13:00:00.000#","#2024-05-31 11:00:00.000#","0","7776000","3600","900","#2016-10-06 04:00:00.000#","#2024-05-31 12:00:00.000#","0","0","2","","0","2","","0","0","","0","","#2020-11-09 21:54:26.210#","","70","T=HZ;3A010000C10600007D944D6E84300C85F7957A8A6E67C15F40EACE09198A861014C2A059E5FEB7681916C5B193EDF3F7EC27D909485994B7C71E9435CB377C89CF0FB84A41AF7E34E07598EDAEC1FF6897A3CE9A9AC6B8299218BCA27895C035AC71772431784DF13A833740F97F8D3348C6203306417991C15B8AB7097C807B5146F9B1C619246348E53F8A15E553EB1A9C2EAA3810D238431C08698CA16626D474427CC509EC526482D4B920F1ED608D33301392B77314053341E426086682C84D68299F3CB7BF5AC704EA72813A2650970A34C116BF5F243178BC03AC7106C9185281B6F9F8CADA2298710E8F27B8AB8CDA2089E9D250BCC9E02DC5536BD935F9239144F0F79BB80DEB12D464B75ED9E7FB8914B8D6EB7DB1E3ECA9CB6BB368077E73FAB439ABCAE897405294E0AC4D16FA70B74E2B587DCE14FACD98D741FC02","0"
"34","DUKE_MIXED_LOAD_MIN","Monitor Duke System Load every minute","0","0","0","1","1","0","0","0","1","172800","172799","27738","27736","27737","#2024-02-01 12:17:00.000#","#2024-05-31 12:15:00.000#","0","10368000","60","15","#2007-12-08 05:00:00.000#","#2024-05-31 12:15:00.000#","0","0","2","","0","2","","0","0","","1","DUKE_MIXED_LOAD","","","3","T=HZ;41000000510000007309F576D5098E0C0E71F58DF7F17774B1725436E5E57201899A19C4FB7AFAC5FBFAFB8578F844C607B83A7A03650D50659D4383825CFD42E27D5C83830D41D200","1"
"35","LOAD_FORECASTS3","Created per suvalent support","0","0","0","0","1","0","0","0","0","2160","2160","879","878","2159","#2024-02-27 18:00:00.000#","#2024-06-01 04:00:00.000#","0","7776000","3600","900","#2020-09-30 04:00:00.000#","#2024-06-01 04:00:00.000#","0","0","1","","0","1","","0","0","","0","","#2020-11-09 21:55:45.281#","","1","ROC12,LOAD_FORECAST:A#0","0"
"36","SURPLUS","Hourly and Monthly Surplus","0","0","0","1","1","0","0","0","0","18000","17999","12905","12903","12904","#2022-05-12 14:01:00.000#","#2024-05-31 12:01:00.000#","0","64800000","3600","3600","#2020-11-20 22:01:00.000#","#2024-05-31 12:01:00.000#","0","0","2","","0","2","","0","0","","0","","#2022-10-11 18:51:08.481#","","8","T=HZ;55000000300100000B0E0D0AF0090DD6710E0D0A8AF7F5F70BF1880F76F40B71758D0F86C858392A1BF07241393A0141AE619EFEA1C1A42B7509F5C6A110C96ADC8AD04C0B71758C77F20E0EF173C16916914A821D7D5C09DB05570500","0"
"37","PMPA_RH_5MIN","5-min interval readings for PMPA and Rock Hill system loads","0","0","0","1","1","0","1","0","0","131040","131039","85714","85712","85713","#2023-03-03 12:15:11.000#","#2024-05-31 12:05:11.000#","0","39312000","300","300","#2005-12-08 05:00:10.999#","#2024-05-31 12:10:11.000#","0","0","2","","0","2","","0","0","","0","","#2014-10-27 15:12:03.168#","","2","T=HZ;280000002C0000000B8E0C56D109F00D708CF70E8F77F6F70D880FF7F10F0EB6725436E0E50A064906F93B03E5400200","1"
"38","GAF01B_15SEC","Gaffney 01B primary and check measured at 15 second intervals","0","0","0","0","1","0","0","0","0","518400","518399","437466","437464","437465","#2023-09-13 17:55:15.000#","#2023-12-12 17:54:45.000#","0","7776000","15","15","#2006-02-01 05:00:00.000#","#2023-12-12 17:54:45.000#","0","0","2","","0","2","","0","0","","0","","","","2","T=HZ;220000002E000000737774333074D271F6F08EF70E8F77F6F70DB0725436E0E5728788070479228B0300","1"
"39","PMPA_Load_Nuclear_Generation","60-minute PMPA Load and Nuclear Generation","0","0","0","1","1","0","0","0","1","2160","2159","1954","1952","1953","#2024-03-02 14:00:05.000#","#2024-05-31 12:00:05.000#","0","7776000","3600","15","#2009-11-25 05:00:05.000#","#2024-05-31 12:00:05.000#","0","0","2","","0","2","","0","0","","0","","","","2","T=HZ;2F000000320000007309F576D571F6758D77F50BF10CF171F505D2F1DEE1568ECAA6BC5CC191C12A3A01BE018E409178677FDF00903000","0"
"40","SPC_RH_60MIN","60-min average (from 5-min readings) of PMPA and Rock Hill syste","0","0","0","1","1","0","1","0","1","10920","10919","9106","9104","9105","#2023-03-03 13:00:11.000#","#2024-05-31 11:00:11.000#","0","39312000","3600","300","#2005-12-08 05:00:11.000#","#2024-05-31 12:00:11.000#","0","0","2","","0","2","","0","0","","1","PMPA_RH_5MIN","#2014-10-27 15:13:23.711#","","2","T=HZ;280000002C0000000B8E0C56D109F00D708CF70E8F77F6F70D880FF7F10F0EB6725436E5E50A064906F93B03E5400200","1"
"41","FORECAST_COMPARE","Compare Forecast with Actual Data","0","0","0","1","1","0","0","0","1","720","719","682","680","681","#2024-05-01 14:01:15.000#","#2024-05-31 12:01:15.000#","0","2592000","3600","60","#2010-02-16 05:01:15.000#","#2024-05-31 12:01:15.000#","0","0","2","","0","2","","0","0","","0","","#2020-10-23 19:18:37.942#","","18","T=HZ;7B000000C901000075D0C10A83300CC6F1FBC0A7D8D5439CCEC36EA14429535B6A478F7DFFB798181943BF5EFFC98F40CC64A9A97DB0F99DB271B37FF1FD59DDCC9E8F94658D76E6283A135E11D18CC9C8033DAE44738104A19681D18ED1C41FEA003A3A468B246AAF463326C19906BC407391500FC996CB577EEFD9129DD2FF3A7D01","0"
"42","ROC_CAPACITY_LOAD","1 Hour generation and load points","0","0","0","1","1","0","0","0","1","720","719","106","104","105","#2024-05-01 14:00:00.000#","#2024-05-31 12:00:00.000#","0","2592000","3600","15","#2010-03-12 05:00:00.000#","#2024-05-31 12:00:00.000#","0","0","2","","0","2","","0","0","","0","","#2010-06-17 17:44:39.051#","","5","T=HZ;530000007D0000000B8E0C56D109F2778E77F675B5725436E5E50A868904BB0638A2097987C73BFBFB06C4877B8678C4FBF80707BB0623A908F00D704428014903250D8092FEA1211EAE417E3AC101CE405D8E2EF1BE8E11202900","1"
