RTUID,NAME,ENGUNITS,SCALEFACT,STATIONPID,PREMGHI,PREMGSEVHI,EMGHI,EMGSEVHI,PREMGLO,PREMGSEVLO,EMGLO,EMGSEVLO
,KVAR_A,KVAR,1.0,CLI01,0,0,0,0,0,0,0,0
,KVAR_B,KVAR,1.0,CLI01,0,0,0,0,0,0,0,0
,KVAR_C,KVAR,1.0,CLI01,0,0,0,0,0,0,0,0
,V,V,1.0,CLI01,0,0,0,0,0,0,0,0
,V_A,V,1.0,CLI01,0,0,0,0,0,0,0,0
,V_B,V,1.0,CLI01,0,0,0,0,0,0,0,0
,V_C,V,1.0,CLI01,0,0,0,0,0,0,0,0
,A,A,1.0,CLI01,0,0,0,0,0,0,0,0
,A_A,A,1.0,CLI01,0,0,0,0,0,0,0,0
,A_B,A,1.0,CLI01,0,0,0,0,0,0,0,0
,A_C,A,1.0,CLI01,0,0,0,0,0,0,0,0
,PF,,1.0,CLI01,0,0,0,0,0,0,0,0
,PF_A,,1.0,CLI01,0,0,0,0,0,0,0,0
,PF_B,,1.0,CLI01,0,0,0,0,0,0,0,0
,PF_C,,1.0,CLI01,0,0,0,0,0,0,0,0
,KW,KW,1.0,CLI01,0,0,0,0,0,0,0,0
,A_N,A,1.0,EAS01,0,0,0,0,0,0,0,0
EAS03_CHK,CHK_A_N,A,3.0,EAS03,0,0,0,0,0,0,0,0
EAS03_CHK,CHK_FREQUENCY,,0.01,EAS03,0,0,0,0,0,0,0,0
EAS03_CHK,CHK_KW,KW,18.0,EAS03,0,0,0,0,0,0,0,0
EAS03_CHK,CHK_KVAR,KVAR,18.0,EAS03,0,0,0,0,0,0,0,0
EAS03_PRI,PRI_A_N,A,3.0,EAS03,0,0,0,0,0,0,0,0
EAS03_PRI,PRI_FREQUENCY,,0.01,EAS03,0,0,0,0,0,0,0,0
,KW_COMP_Estimate,KW,1.0,CLI01,0,0,0,0,0,0,0,0
,LASTHRAVG_KW,KW,1.0,CLI01,0,0,0,0,0,0,0,0
,LASTHRAVG_KVAR,KVAR,1.0,CLI01,0,0,0,0,0,0,0,0
,60MIN_KW,KW,0.0,CLI01,0,0,0,0,0,0,0,0
,60MIN_KVAR,KVAR,0.0,CLI01,0,0,0,0,0,0,0,0
CLI02_PRI,PRI_KW_COMP,KW,0.048,CLI02,0,0,0,0,0,0,0,0
CLI02_PRI,PRI_KW_A,KW,0.048,CLI02,0,0,0,0,0,0,0,0
CLI02_PRI,PRI_KW_B,KW,0.048,CLI02,0,0,0,0,0,0,0,0
CLI02_PRI,PRI_KW_C,KW,0.048,CLI02,0,0,0,0,0,0,0,0
CLI02_PRI,PRI_KVAR,KVAR,0.048,CLI02,0,0,0,0,0,0,0,0
,PRI_KVAR_A,KVAR,1.0,CLI02,0,0,0,0,0,0,0,0
,PRI_KVAR_B,KVAR,1.0,CLI02,0,0,0,0,0,0,0,0
,PRI_KVAR_C,KVAR,1.0,CLI02,0,0,0,0,0,0,0,0
CLI02_PRI,PRI_V,V,0.0012,CLI02,0,0,0,0,0,0,0,0
CLI02_PRI,PRI_V_A,V,0.0012,CLI02,0,0,0,0,10,3,0,0
CLI02_PRI,PRI_V_B,V,0.0012,CLI02,0,0,0,0,10,3,0,0
CLI02_PRI,PRI_V_C,V,0.0012,CLI02,0,0,0,0,10,3,0,0
CLI02_PRI,PRI_A,A,0.4,CLI02,0,0,0,0,0,0,0,0
CLI02_PRI,PRI_A_A,A,0.4,CLI02,0,0,0,0,5,3,0,0
CLI02_PRI,PRI_A_B,A,0.4,CLI02,0,0,0,0,5,3,0,0
CLI02_PRI,PRI_A_C,A,0.4,CLI02,0,0,0,0,5,3,0,0
CLI02_PRI,PRI_PF,,0.01,CLI02,0,0,0,0,0,0,0,0
,PRI_PF_A,,0.01,CLI02,0,0,0,0,0,0,0,0
,PRI_PF_B,,0.01,CLI02,0,0,0,0,0,0,0,0
